Nom,Statut,Adresse,Téléphone,Latitude,Longitude,Itinéraire Maps,Horaires
PHARMACIE AGOENYIVE,Ouvert,"Route Nationale N°1, à côté de l'Église catholique Marie-ThéotokosAgoènyivé - BP 20464Lomé - Togo",+228 22 25 83 38,6.22570556,1.2107,"https://maps.google.com?daddr=6.22570556,1.2107",Lundi: 07H00 — 20H00 | Mardi: 07H00 — 20H00 | Mercredi: 07H00 — 20H00 | Jeudi: 07H00 — 20H00 | Vendredi: 07H00 — 20H00 | Samedi: 07H00 — 20H00 | Dimanche: Fermé
PHARMACIE DU 3e ARRONDISSEMENT,Ouvert,"219, Boulevard du 13 janvier à côté de l'immeuble Fiata, Golfe 4Lomé - Togo",+228 22 21 52 27,6.135169,1.232,"https://maps.google.com?daddr=6.135169,1.232",Lundi: 07H30 — 20H00 | Mardi: 07H30 — 20H00 | Mercredi: 07H30 — 20H00 | Jeudi: 07H30 — 20H00 | Vendredi: 07H30 — 20H00 | Samedi: 07H30 — 13H00 | Dimanche: Fermé
PHARMACIE MAËLYS,Ouvert,"1620, Bd. Malfakassa, non loin du Lycée St Michel, en face de NETADIBè Kpota - BP 604Lomé - Togo",+228 22 27 60 19,6.16795556,1.2754,"https://maps.google.com?daddr=6.16795556,1.2754",Lundi: 07H30 — 20H00 | Mardi: 07H30 — 20H00 | Mercredi: 07H30 — 20H00 | Jeudi: 07H30 — 20H00 | Vendredi: 07H30 — 20H00 | Samedi: 07H30 — 13H00 | Dimanche: Fermé
PHARMACIE 2000,Ouvert,Bd Malfakassa non loin de station Totale du MarchéBP 61194Lomé - Togo,+228 22 70 85 87,6.16405556,1.2,"https://maps.google.com?daddr=6.16405556,1.2",Lundi: 07H00 — 20H00 | Mardi: 07H00 — 20H00 | Mercredi: 07H00 — 20H00 | Jeudi: 07H00 — 20H00 | Vendredi: 07H00 — 20H00 | Samedi: 07H00 — 13H00 | Dimanche: Fermé
PHARMACIE BAKOE,Ouvert,"Route de la mission Tové sur la colline, ApessitoLomé - Togo",+228 79 71 03 74,6.28533333,1.1416,"https://maps.google.com?daddr=6.28533333,1.1416",Lundi: 00H00 — 23H59 | Mardi: 00H00 — 23H59 | Mercredi: 00H00 — 23H59 | Jeudi: 00H00 — 23H59 | Vendredi: 00H00 — 23H59 | Samedi: 00H00 — 23H59 | Dimanche: 00H00 — 23H59
PHARMACIE DES OLIVIERS,Inconnu,"266, Bd. Félix H.Boigny, à côté de l'agence MoovAkodésséwa - 08 BP 8480 Lomé 08Lomé - Togo",+228 22 71 70 37,6.15200833,1.262,"https://maps.google.com?daddr=6.15200833,1.2620",Non spécifié
PHARMACIE DES ORCHIDEES,Ouvert,Près du carrefour Léo 2000Agoè Téléssou - 02 BP 20715Lomé - Togo,+228 93 43 10 49,6.21132222,1.1771,"https://maps.google.com?daddr=6.21132222,1.1771",Lundi: 00H00 — 23H59 | Mardi: 00H00 — 23H59 | Mercredi: 00H00 — 23H59 | Jeudi: 00H00 — 23H59 | Vendredi: 00H00 — 23H59 | Samedi: 00H00 — 23H59 | Dimanche: 00H00 — 23H59
PHARMACIE FIDELIA,Ouvert,"Rue des passages des boeufs, à coté IFGIAkodésséwaLomé - Togo",+228 96 09 73 38,6.16652778,1.2665,"https://maps.google.com?daddr=6.16652778,1.2665",Lundi: 07H00 — 20H00 | Mardi: 07H00 — 20H00 | Mercredi: 07H00 — 20H00 | Jeudi: 07H00 — 20H00 | Vendredi: 07H00 — 20H00 | Samedi: 07H00 — 20H00 | Dimanche: Fermé
PHARMACIE LA GRACE,Ouvert,"Route Nationale N° 1, en face du terrain de sport Agoé Nyivé, à côté de l'hôtel SaharaAgoènyivé - 01 BP 440Lomé - Togo",+228 22 25 91 65,6.21955556,1.209,"https://maps.google.com?daddr=6.21955556,1.2090",Lundi: 07H30 — 20H00 | Mardi: 07H30 — 20H00 | Mercredi: 07H30 — 20H00 | Jeudi: 07H30 — 20H00 | Vendredi: 07H30 — 20H00 | Samedi: 07H30 — 13H00 | Dimanche: Fermé
PHARMACIE LE BON SAMARITAIN BJV,Ouvert,Non loin de l’hôpital de BèBè Pa de Souza - BP 616Lomé - Togo,+228 22 21 45 30,6.13998056,1.2466,"https://maps.google.com?daddr=6.13998056,1.2466",Lundi: 07H00 — 20H00 | Mardi: 07H00 — 20H00 | Mercredi: 07H00 — 20H00 | Jeudi: 07H00 — 20H00 | Vendredi: 07H00 — 20H00 | Samedi: 07H00 — 13H00 | Dimanche: Fermé
